obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.01031"	"0.00003"	"350.010319"	"0.000009"	"310"	""		"11241.73043"	"39804.1450"	"5f.6d.7s2"	"3F*"	"3"	""	""	"2"		""	"L5951"	
"350.03270"	"0.00005"	"350.032727"	"0.000005"	"78"	""		"7502.287636"	"36062.8738"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"4"		""	"L5951"	
"350.186646"	"0.000020"	"350.186650"	"0.000005"	"690"	""		"5563.141519"	"34111.1744"	"6d3.(4F).7s"	"5F"	"1"	""	"*"	"1"		""	"L5951"	
"350.21582"	"0.00005"	"350.215796"	"0.000015"	"64"	""		"15490.077832"	"44035.7349"	"5f.6d.7s2"	"3G*"	"5"	""	""	"4"		""	"L5951"	
"350.25140"	"0.00012"	"350.251371"	"0.000008"	"240"	""		"10414.13700"	"38956.8948"	"5f.6d.7s2"	"1G*"	"4"	""	""	"4"		""	"L3552"	
"350.27385"	"0.00004"	"350.273834"	"0.000005"	"170"	""		"7795.275291"	"36336.2027"	"5f.6d.7s2"	"3H*"	"4"	""	""	"3"		""	"L5951"	
"350.29635"	"0.00004"	"350.296354"	"0.000005"	"150"	""		"10414.13700"	"38953.2296"	"5f.6d.7s2"	"1G*"	"4"	""	""	"5"		""	"L5951"	
"350.30177"	"0.00005"	"350.301747"	"0.000009"	"52"	""		"10783.15535"	"39321.8086"	"6d.7s2.7p"	"3F*"	"2"	""	""	"3"		""	"L5951"	
"350.31291"	"0.00004"	"350.312963"	"0.000010"	"180"	""		"13175.113345"	"41712.8529"	"5f.6d.7s2"	"3G*"	"4"	""	""	"5"		""	"L5951"	
"350.378576"	"0.000017"	"350.378568"	"0.000005"	"1000"	""		"7280.123222"	"35812.5195"	"6d2.7s2"	""	"2"	""	"*"	"3"		""	"L5951"	
"350.38631"	"0.00012"	"350.386421"	"0.000008"	"180"	""		"8243.602091"	"36775.3589"	"5f.6d.7s2"	"3F*"	"2"	""	""	"3"		""	"L3552"	
"350.49921"	"0.00004"	"350.499156"	"0.000014"	"140"	""		"11877.839132"	"40400.4192"	"6d.7s2.7p"	"3D*"	"1"	""	""	"2"		""	"L5951"	
"350.57670"	"0.00012"	"350.576774"	"0.000009"	"360"	""		"6362.395980"	"34878.6613"	"6d3.(4F).7s"	"5F"	"2"	""	"*"	"1"		""	"L3552"	
"350.59340"	"0.00012"	"350.593438"	"0.000005"	"23"	""		"8111.004545"	"36625.9145"	"6d2.7s2"	"1G"	"4"	""	"*"	"5"		""	"L3552"	
"350.61326"	"0.00003"	"350.613261"	"0.000003"	"250"	""		"0.000000"	"28513.29787"	"6d2.7s2"	"3F"	"2"	""	"*"	"2"		""	"L5951"	
"350.63453"	"0.00005"	"350.634452"	"0.000009"	"79"	""		"13175.113345"	"41686.6880"	"5f.6d.7s2"	"3G*"	"4"	""	""	"3"		""	"L5951"	
"350.66456"	"0.00004"	"350.664549"	"0.000004"	"210"	""		"3687.987189"	"32197.1148"	"6d2.7s2"	""	"2"	""	"*"	"3"		""	"L5951"	
"350.71781"	"0.00004"	"350.717798"	"0.000017"	"97"	""		"14204.26476"	"42709.0640"	"6d3.(2G).7s"	""	"5"	""	"*"	"5"		""	"L5951"	
"350.75187"	"0.00004"	"350.751991"	"0.000004"	"150"	""		"7795.275291"	"36297.2958"	"5f.6d.7s2"	"3H*"	"4"	""	""	"4"		""	"L5951"	
"350.81011"	"0.00005"	"350.810115"	"0.000005"	"90"	""		"11197.031257"	"39694.3296"	"5f.6d.7s2"	"3H*"	"5"	"5f.6d2.7p "	"5I"	"5"		""	"L5951"	
"350.83592"	"0.00004"	"350.835970"	"0.000005"	"99"	""		"11601.03035"	"40096.2286"	"6d3.(4P).7s"	"5P"	"1"	""	"*"	"2"		""	"L5951"	
"350.908868"	"0.000022"	"350.908874"	"0.000005"	"470"	""		"6362.395980"	"34851.6743"	"6d3.(4F).7s"	"5F"	"2"	""	"*"	"2"		""	"L5951"	
"350.97840"	"0.00012"	"350.978396"	"0.000005"	"23"	""		"10526.544406"	"39010.1797"	"5f.6d.7s2"	"3G*"	"3"	""	""	"3"		""	"L3552"	
"351.115725"	"0.000012"	"351.115721"	"0.000004"	"2100"	""		"3687.987189"	"32160.4826"	"6d2.7s2"	""	"2"	""	"*"	"2"		""	"L5951"	
"351.17900"	"0.00005"	"351.178950"	"0.000011"	"90"	""		"13297.43316"	"41764.8023"	"6d3.(2G).7s"	"3G"	"4"	""	"*"	"5"		""	"L5951"	
"351.36820"	"0.00012"	"351.368239"	"0.000007"	"180"	""		"11802.93238"	"40254.9660"	"6d3.(4P).7s"	"5P"	"2"	""	"*"	"3"		""	"L3552"	
"351.42844"	"0.00003"	"351.428447"	"0.000011"	"250"	""		"15490.077832"	"43937.2371"	"5f.6d.7s2"	"3G*"	"5"	""	""	"6"		""	"L5951"	
"351.46267"	"0.00003"	"351.462693"	"0.000011"	"220"	""		"14206.91694"	"42651.3045"	"5f.6d.7s2"	"3F*"	"4"	""	""	"3"		""	"L5951"	
"351.53266"	"0.00004"	"351.532638"	"0.000011"	"120"	""		"11241.73043"	"39680.4585"	"5f.6d.7s2"	"3F*"	"3"	""	""	"2"		""	"L5951"	
"351.65301"	"0.00012"	"351.653134"	"0.000008"	"7"	""		"14206.91694"	"42635.9006"	"5f.6d.7s2"	"3F*"	"4"	""	""	"5"		""	"L3552"	
"351.81984"	"0.00005"	"351.819775"	"0.000005"	"63"	""		"7795.275291"	"36210.7938"	"5f.6d.7s2"	"3H*"	"4"	""	""	"5"		""	"L5951"	
"351.840380"	"0.000010"	"351.840375"	"0.000003"	"4200"	""		"2869.259165"	"31283.11407"	"6d2.7s2"	"3F"	"3"	""	"*"	"3"		""	"L5951"	
"351.888555"	"0.000022"	"351.888524"	"0.000009"	"510"	""		"8243.602091"	"36653.5692"	"5f.6d.7s2"	"3F*"	"2"	""	""	"2"		""	"L5951"	
"352.02770"	"0.00012"	"352.027827"	"0.000008"	"35"	""		"7280.123222"	"35678.8484"	"6d2.7s2"	""	"2"	""	"*"	"1"		""	"L3552"	
"352.04531"	"0.00012"	"352.045476"	"0.000010"	"11"	""		"14226.82045"	"42624.1219"	"6d3.(2P).7s"	""	"0"	""	"*"	"1"		""	"L3552"	
"352.105927"	"0.000015"	"352.105916"	"0.000005"	"1500"	""		"3687.987189"	"32080.4143"	"6d2.7s2"	""	"2"	""	"*"	"1"		""	"L5951"	
"352.11410"	"0.00012"	"352.114192"	"0.000009"	"240"	""		"10783.15535"	"39174.9152"	"6d.7s2.7p"	"3F*"	"2"	""	""	"3"		""	"L3552"	
"352.21546"	"0.00005"	"352.215501"	"0.000009"	"53"	""		"7502.287636"	"35885.8813"	"6d3.(4F).7s"	"5F"	"3"	""	"*"	"2"		""	"L5951"	
"352.22639"	"0.00005"	"352.226336"	"0.000011"	"88"	""		"13175.113345"	"41557.8339"	"5f.6d.7s2"	"3G*"	"4"	""	""	"3"		""	"L5951"	
"352.350593"	"0.000015"	"352.350604"	"0.000003"	"1300"	""		"0.000000"	"28372.71076"	"6d2.7s2"	"3F"	"2"	""	"*"	"1"		""	"L5951"	
"352.375833"	"0.000022"	"352.375823"	"0.000004"	"460"	""		"2558.056752"	"30928.7370"	"6d2.7s2"	"3P"	"0"	""	"*"	"1"		""	"L5951"	
"352.41785"	"0.00004"	"352.417864"	"0.000015"	"190"	""		"15490.077832"	"43857.3737"	"5f.6d.7s2"	"3G*"	"5"	""	""	"5"		""	"L5951"	
